"#symbol","logFC","logCPM","LR","PValue","adj.p"
"TSPAN6",1.30900742566901,2.72825340080992,8.49948628274074,0.00355246765671911,0.058898279230734
"TNMD",0.0712007297130572,1.10150407877247,0.0606328016879166,0.805498552823514,1
"DPM1",-0.0541383854596401,4.72096884437873,0.0321750714389446,0.857643958685338,1
"SCYL3",-0.675969830912995,4.85697888181692,4.31230858776972,0.0378375804094715,0.27170543218775
"C1orf112",-1.28314219378399,3.88491846465008,11.3574399832422,0.000751463323861463,0.0213000549839627
"FGR",-1.07822437958582,5.72053060226507,2.99717398424611,0.083409892256193,0.447317902232706
"CFH",-0.184511344810866,4.58605850282303,0.0684864567349379,0.79355337877976,1
"FUCA2",-1.36909193188028,4.80244726248881,12.2669444444212,0.000461052564102045,0.0151619150012276
"GCLC",-1.77145534943314,6.07664048479986,14.4123222191925,0.000146838331459689,0.00691753541474628
"NFYA",-1.21513426067858,5.17644346307361,16.1642477456856,5.80800385235935e-05,0.00378324435552146
"STPG1",-0.218007937345211,3.19633067696176,0.275363701145992,0.599756239660382,1
"NIPAL3",-0.660052653176538,5.31381891274465,5.07514596425549,0.02427122845415,0.206043872230318
"LAS1L",-0.192102235716532,5.56479160601274,0.479295788197503,0.488741468878338,1
"ENPP4",-0.75055689127103,5.27525576638643,1.35403601803218,0.24457377211041,0.852109591280966
"SEMA3F",1.11802323422361,1.5210909804189,1.83597371110834,0.175423586995805,0.700135977311106
"CFTR",0.207545957804489,1.26276434033653,0.0338023335739175,0.854127906349734,1
"ANKIB1",-0.0919833588555876,6.09678778107028,0.120396753114036,0.7286045765925,1
"CYP51A1",-0.262120823693769,6.01611890042441,0.408943876521732,0.522506039183868,1
"KRIT1",-0.0217984628353045,5.62919608117981,0.00583113662129264,0.939131196872972,1
"RAD52",-1.22855850028276,3.97158237205285,10.0892852766086,0.00149133938584064,0.0336764317847962
"BAD",0.134135699622879,4.03355108067553,0.134689248950619,0.713618765010658,1
"LAP3",-0.403837071743674,5.9062918442678,1.44395881230127,0.22949979137615,0.823360970748603
"CD99",-1.27782118441978,8.09416343519991,7.09803024563871,0.0077168711964034,0.0979707125804258
"HS3ST1",-0.20935774139609,2.57628503364247,0.0962796491877587,0.756340722819365,1
"AOC1",-1.71654866851366,1.70244807361935,3.96025298234528,0.046586701482315,0.30880327839706
"WNT16",0.593685824331772,1.22334198212626,0.267951894093658,0.60470897958963,1
"HECW1",0.643130969660346,1.99972102985995,1.20048824048399,0.273224116590853,0.910621787733807
"MAD1L1",-0.232421275156669,5.0619252435743,0.400706481154021,0.526724626001041,1
"LASP1",-0.689632221930263,7.11920099504874,4.88551693945446,0.0270829233099184,0.22099561029958
"SNX11",0.0644607807100378,4.39251792486773,0.0425255392337798,0.836621242214849,1
"TMEM176A",-0.368094000168031,2.66549071224186,0.181305319743025,0.670253860993755,1
"M6PR",-0.95845851405234,7.10385543423177,10.7776258525737,0.00102734368517971,0.0263822481458735
"KLHL13",-0.114729282916632,4.01379119557853,0.0424903955215257,0.83668781428354,1
"CYP26B1",0.790852907929736,1.15104714869687,0.51940091094839,0.471097348243242,1
"ICA1",0.394330734954208,4.86453750869755,0.465887810881764,0.494885075735958,1
"DBNDD1",0.836782994515095,1.5177682005249,1.02758177804284,0.310727315938911,0.978834924157161
"ALS2",-1.6781654504451,6.79185109385473,8.0854328739271,0.0044622471350915,0.0686399795457854
"CASP10",0.537054074840884,5.96852699050635,3.68919978934906,0.0547658849142916,0.341689087090972
"CFLAR",-0.0165686308009022,8.08947742165475,0.00354226185864093,0.952540401919086,1
"TFPI",0.22510999953267,7.04902486528717,0.480994890919805,0.487972017212363,1
"NDUFAF7",0.381278747775991,4.67799786230994,1.57393551856806,0.209636400269697,0.781591627794241
"RBM5",0.0971959895315186,7.84768702714191,0.109603331078868,0.740596190348473,1
"MTMR7",-1.50639810043181,1.21298227780387,1.59254339396391,0.206963129848983,0.775127723821842
"SLC7A2",-3.97177440488192,2.26958301581772,7.40358620898395,0.00650939803055769,0.087738292913271
"ARF5",-0.169940966748824,6.04881035107654,0.311331170428531,0.576864472519902,1
"SARM1",0.469157056125476,4.88016967977914,0.847137697725312,0.357363332276235,1
"POLDIP2",-0.523606512333441,5.62959514339888,2.53700965972807,0.111205218734109,0.533533026765121
"PLXND1",-1.63668943830697,7.46722352688533,22.5374396161058,2.0608758884197e-06,0.000327727643627004
"AK2",-1.25736901450694,7.15423416035727,11.8035524367439,0.000591178091956059,0.0180888747341785
"CD38",-2.28224210534197,7.00002883690041,11.5501694592747,0.000677430820960239,0.0199703540187687
"FKBP4",-1.17630876563513,6.30788960124003,6.13771491780445,0.0132328209508621,0.140288610719124
"KDM1A",-0.145021734963525,7.21577687300593,0.231454569120161,0.630447378668018,1
"RBM6",-0.119839491347032,6.92181888876001,0.181315152398409,0.67024544706743,1
"CAMKK1",-0.0775435882506178,3.79997101697099,0.0327846709466098,0.856316260089503,1
